,Country,ELO Rating
0,Brazil,2150
1,Argentina,2125
2,Netherlands,2068
3,Portugal,2042
4,France,2018
5,Spain,1996
6,England,1995
7,Italy,1974
8,Germany,1956
9,Belgium,1948
10,Croatia,1936
11,Colombia,1919
12,Uruguay,1905
13,Denmark,1883
14,Morocco,1882
15,Switzerland,1879
16,Peru,1851
17,Japan,1850
18,Ecuador,1842
19,Serbia,1835
20,Hungary,1825
21,Ukraine,1822
22,United States,1819
23,Mexico,1813
24,Poland,1802
25,South Korea,1788
26,Czech Republic,1779
27,Iran,1779
28,Australia,1772
29,Sweden,1758
30,Norway,1754
31,Russia,1753
32,Austria,1752
33,Scotland,1752
34,Tunisia,1747
35,Senegal,1747
36,Costa Rica,1737
37,Paraguay,1726
38,Wales,1717
39,Canada,1712
40,Turkey,1712
41,Algeria,1707
42,Chile,1697
43,Greece,1690
44,Finland,1689
45,Venezuela,1684
46,Cameroon,1679
47,Ireland,1676
48,Ivory Coast,1670
49,Slovenia,1667
50,Egypt,1662
51,Georgia,1652
52,Panama,1646
53,Saudi Arabia,1643
54,Nigeria,1631
55,Israel,1620
56,Mali,1620
57,Bolivia,1618
58,Bosnia and Herzegovina,1616
59,Romania,1610
60,Burkina Faso,1604
61,Ghana,1596
62,Jordan,1590
63,Slovakia,1580
64,Qatar,1578
65,Uzbekistan,1573
66,Iraq,1572
67,Jamaica,1556
68,Oman,1553
69,South Africa,1543
